datetime,Latitude,Longitude
2020-02-19 16:25:48,nan,nan
2020-02-19 16:25:51,nan,nan
2020-02-19 16:25:54,nan,nan
2020-02-19 16:25:57,nan,nan
2020-02-19 16:26:00,nan,nan
2020-02-19 16:26:03,nan,nan
2020-02-19 16:26:06,nan,nan
2020-02-19 16:26:09,nan,nan
2020-02-19 16:26:12,nan,nan
2020-02-19 16:26:15,nan,nan
2020-02-19 16:26:18,nan,nan
2020-02-19 16:26:21,nan,nan
2020-02-19 16:26:24,nan,nan
2020-02-19 16:26:27,nan,nan
2020-02-19 16:26:30,nan,nan
2020-02-19 16:26:33,nan,nan
2020-02-19 16:26:36,nan,nan
2020-02-19 16:26:40,nan,nan
2020-02-19 16:26:43,nan,nan
2020-02-19 16:26:46,nan,nan
2020-02-19 16:26:49,nan,nan
2020-02-19 16:26:52,nan,nan
2020-02-19 16:26:55,nan,nan
2020-02-19 16:26:58,nan,nan
2020-02-19 16:27:01,nan,nan
2020-02-19 16:27:04,nan,nan
2020-02-19 16:27:07,nan,nan
2020-02-19 16:27:10,nan,nan
2020-02-19 16:27:13,nan,nan
2020-02-19 16:27:16,nan,nan
2020-02-19 16:27:19,nan,nan
2020-02-19 16:27:22,nan,nan
2020-02-19 16:27:25,nan,nan
2020-02-19 16:27:28,nan,nan
2020-02-19 16:27:31,nan,nan
2020-02-19 16:27:34,nan,nan
2020-02-19 16:27:37,nan,nan
2020-02-19 16:27:40,nan,nan
2020-02-19 16:27:43,nan,nan
2020-02-19 16:27:46,nan,nan
2020-02-19 16:27:49,nan,nan
2020-02-19 16:27:52,nan,nan
2020-02-19 16:27:55,nan,nan
2020-02-19 16:27:58,nan,nan
2020-02-19 16:28:01,nan,nan
2020-02-19 16:28:04,nan,nan
2020-02-19 16:28:07,nan,nan
2020-02-19 16:28:10,nan,nan
2020-02-19 16:28:13,nan,nan
2020-02-19 16:28:16,nan,nan
2020-02-19 16:28:19,nan,nan
2020-02-19 16:28:22,nan,nan
2020-02-19 16:28:25,nan,nan
2020-02-19 16:28:28,nan,nan
2020-02-19 16:28:31,nan,nan
2020-02-19 16:28:34,nan,nan
2020-02-19 16:28:37,nan,nan
2020-02-19 16:28:41,nan,nan
2020-02-19 16:28:44,nan,nan
2020-02-19 16:28:47,nan,nan
2020-02-19 16:28:50,nan,nan
2020-02-19 16:28:53,nan,nan
2020-02-19 16:28:56,nan,nan
2020-02-19 16:28:59,nan,nan
2020-02-19 16:29:02,nan,nan
2020-02-19 16:29:05,nan,nan
2020-02-19 16:29:08,nan,nan
2020-02-19 16:29:11,nan,nan
2020-02-19 16:29:14,nan,nan
2020-02-19 16:29:17,nan,nan
2020-02-19 16:29:20,nan,nan
2020-02-19 16:29:23,nan,nan
2020-02-19 16:29:26,nan,nan
2020-02-19 16:29:29,nan,nan
2020-02-19 16:29:32,nan,nan
2020-02-19 16:29:35,nan,nan
2020-02-19 16:29:38,nan,nan
2020-02-19 16:29:41,nan,nan
2020-02-19 16:29:44,nan,nan
2020-02-19 16:29:47,nan,nan
2020-02-19 16:29:50,nan,nan
2020-02-19 16:29:53,nan,nan
2020-02-19 16:29:56,nan,nan
2020-02-19 16:29:59,nan,nan
2020-02-19 16:30:02,nan,nan
2020-02-19 16:30:05,nan,nan
2020-02-19 16:30:08,nan,nan
2020-02-19 16:30:11,nan,nan
2020-02-19 16:30:14,nan,nan
2020-02-19 16:30:17,nan,nan
2020-02-19 16:30:20,nan,nan
2020-02-19 16:30:23,nan,nan
2020-02-19 16:30:27,nan,nan
2020-02-19 16:30:30,nan,nan
2020-02-19 16:30:33,nan,nan
2020-02-19 16:30:36,nan,nan
2020-02-19 16:30:39,nan,nan
2020-02-19 16:30:42,nan,nan
2020-02-19 16:30:45,nan,nan
2020-02-19 16:30:48,nan,nan
2020-02-19 16:30:51,nan,nan
2020-02-19 16:30:54,nan,nan
2020-02-19 16:30:57,nan,nan
2020-02-19 16:31:00,nan,nan
2020-02-19 16:31:03,nan,nan
2020-02-19 16:31:06,nan,nan
